"LICENSE TYPE","LICENSE NUMBER","LICENSE EXPIRATION DATE","COUNTY","NAME","MAILING ADDRESS LINE1","MAILING ADDRESS LINE2","MAILING ADDRESS CITY, STATE ZIP","PHONE NUMBER","BUSINESS NAME","BUSINESS ADDRESS-LINE1","BUSINESS ADDRESS-LINE2","BUSINESS CITY, STATE ZIP","BUSINESS COUNTY CODE","BUSINESS COUNTY","BUSINESS ZIP","BUSINESS PHONE","LICENSE SUBTYPE","CONTINUING EDUCATION FLAG","Same Address or not","Business Address that mentions BOX","Mailing address that mentions BOX","Phone-same or not"
"Barber School",10, 09/01/2025,"EL PASO","EL PIPO BARBER SCHOOL","1012 N RAYNOR ST","","EL PASO TX 79903-2512","","EL PIPO BARBER SCHOOL","1012 N RAYNOR","","EL PASO TX 79903","0141","EL PASO","79903","9155624069","PS","N","not the same",0,0,""
"Barber School",13, 12/01/2025,"NUECES","HAIR EXPRESSIONS BARBER SCHOOL LLC","4027 AYERS ST","","CORPUS CHRISTI TX 78415-4641","","HAIR EXPRESSIONS BARBER SCHOOL LLC","4027 AYERS","","CORPUS CHRISTI TX 78416","0355","NUECES","78416","3612251041","PS","N","not the same",0,0,""
"Barber School",15, 12/01/2025,"HARRIS","JAYS TECHNICAL INSTITUTE INC","11910 FONDREN MEADOW DR","","HOUSTON TX 77071-3276","","JAYS TECHNICAL INSTITUTE INC","7765 9TH AVE STE M","","PORT ARTHUR TX 77642-6908","0245","JEFFERSON","77642","4095198010","PS","N","not the same",0,0,""
"Barber School",17, 10/09/2025,"LUBBOCK","LUBBOCK HAIR ACADEMY","2844 34TH ST","","LUBBOCK TX 79410-3524","","LUBBOCK HAIR ACADEMY","2844 34TH STREET","","LUBBOCK TX 79410","0303","LUBBOCK","79410","8067013945","PS","N","not the same",0,0,""
"Barber School",19, 12/01/2025,"HARRIS","MODERN BARBER COLLEGE","2401 FANNIN ST","","HOUSTON TX 77002-9113","","MODERN BARBER COLLEGE","2401 FANNIN ST","","HOUSTON TX 77002","0201","HARRIS","77002","7135200855","PS","N","Same address",0,0,""
"Barber School",21, 08/09/2025,"BELL","OG'S SCHOOL OF HAIR DESIGN","2501 S W S YOUNG DR STE 302","","KILLEEN TX 76542-2005","","OG'S SCHOOL OF HAIR DESIGN","2501 SOUTH W S YOUNG DR #302","","KILLEEN TX 76541","0027","BELL","76541","2545264339","PS","N","not the same",0,0,""
"Barber School",31, 12/01/2025,"HARRIS","TREND BARBER COLLEGE","8250 W BELLFORT BLVD","","HOUSTON TX 77071-2202","","TREND BARBER COLLEGE","8250 W BELLFORT BLVD","","HOUSTON TX 77071-2202","0201","HARRIS","77071","7137210000","PS","N","Same address",0,0,""
"Barber School",32, 12/01/2025,"TARRANT","WILLIAMS BARBER COLLEGE","1251 EVANS AVE","","FORT WORTH TX 76104-5152","","WILLIAMS BARBER COLLEGE","1251 EVANS AVENUE","","FORT  WORTH TX 76104","0439","TARRANT","76104","8173359681","PS","N","not the same",0,0,""
"Barber School",103, 12/01/2025,"HARRIS","TREND BARBER COLLEGE INC","14806 ELLA BLVD","","HOUSTON TX 77090","","TREND BARBER COLLEGE INC","14806 ELLA BLVD","","HOUSTON TX 77090","0201","HARRIS","77090","2814408383","PS","N","Same address",0,0,""
"Barber School",104, 12/01/2025,"HARRIS","MESA BARBER SCHOOL","8523 MESA DR","","HOUSTON TX 77028-2006","","MESA BARBER SCHOOL","8523 MESA DR","","HOUSTON TX 77028-2006","0201","HARRIS","77028","7134910290","PS","N","Same address",0,0,""
"Barber School",109, 12/01/2025,"SMITH","EAST TEXAS BARBER SCHOOL INC","335 S BONNER AVE","","TYLER TX 75702-7110","","EAST TEXAS BARBER SCHOOL INC","335 S BONNER AVE","","TYLER TX 75702-7110","0423","SMITH","75702","9035934424","PS","N","Same address",0,0,""
"Barber School",111, 04/11/2025,"GREGG","TRADIANT INSTITUTE OF TEXAS","2430 S HIGH ST STE B4","","LONGVIEW TX 75602-3456","","TRADIANT INSTITUTE OF TEXAS","2430 S HIGH ST STE B4","","LONGVIEW TX 75602-3456","0183","GREGG","75602","9032369695","PS","N","Same address",0,0,""
"Barber School",119, 12/01/2025,"BEXAR","ALAMO CITY BARBER COLLEGE","8910 BANDERA RD STE 209","","SAN ANTONIO TX 78250-3227","","ALAMO CITY BARBER COLLEGE","8910 BANDERA ROAD  STE 209","","SAN ANTONIO TX 78250","0029","BEXAR","78250","2105237777","PS","N","not the same",0,0,""
"Barber School",120, 12/01/2025,"HOPKINS","360 BARBER COLLEGE","305 LOCUST ST S","","SULPHUR SPRINGS TX 75482-3924","","360 BARBER COLLEGE","305 LOCUST ST S","","SULPHUR SPRINGS TX 75482-3924","0223","HOPKINS","75482","9728028705","PS","N","Same address",0,0,""
"Barber School",126, 12/01/2025,"DALLAS","MASTER BARBERS INSTITUTE","622 W JEFFERSON BLVD","","DALLAS TX 75208-4724","","MASTER BARBERS INSTITUTE","622 JEFFERSON BLVD","","DALLAS TX 75208","0113","DALLAS","75208","2149483808","PS","N","not the same",0,0,""
"Barber School",129, 12/01/2025,"TAYLOR","NEECEE'S BARBER COLLEGE","1813 INDUSTRIAL BLVD","","ABILENE TX 79602-7835","","NEECEE'S BARBER COLLEGE","1813 INDUSTRIAL","","ABILENE TX 79602","0441","TAYLOR","79602","3256737970","PS","N","not the same",0,0,""
"Barber School",131, 04/17/2025,"DALLAS","KALIBUR BARBER COLLEGE","1801 W POLO RD STE 122","","GRAND PRAIRIE TX 75052-1710","","KALIBUR BARBER COLLEGE","1801 W POLO RD STE 122","","GRAND PRAIRIE TX 75052","0113","DALLAS","75052","9725227730","PS","N","Same address",0,0,""
"Barber School",140, 12/15/2025,"BEXAR","WILLIAMS BARBER COLLEGE","520 S WW WHITE RD","","SAN ANTONIO TX 78220-1737","","WILLIAMS BARBER COLLEGE","520 S WW WHITE RD","","SAN ANTONIO TX 78220","0029","BEXAR","78220","2103376471","PS","N","Same address",0,0,""
"Barber School",143, 12/01/2025,"BELL","CENTRAL TEXAS BARBER COLLEGE","2604 FIELDSTONE DR","","KILLEEN TX 76549-3489","","CENTRAL TEXAS BARBER COLLEGE","3602 WATERCREST RD STE 400","","KILLEEN TX 76549","0027","BELL","76549","2542953086","PS","N","not the same",0,0,""
"Barber School",153, 12/01/2025,"HIDALGO","G.A. BEAUTY & BARBER SCHOOL","3301 N WARE RD STE B","","MCALLEN TX 78501-3388","","G.A. BEAUTY & BARBER SCHOOL","3301 N WARE RD SUITE B","","MCALLEN TX 78501","0215","HIDALGO","78501","9566642233","PS","N","not the same",0,0,""
"Barber School",154, 12/01/2025,"DALLAS","DALLAS BLENDS BARBER ACADEMY","2902 S BUCKNER BLVD STE 270","","DALLAS TX 75227-6980","","DALLAS BLENDS BARBER ACADEMY","2902 S BUCKNER BLVD # 270","","DALLAS TX 75227","0113","DALLAS","75227","4699821527","PS","N","not the same",0,0,""
"Barber School",161, 01/11/2026,"ANGELINA","TEXAN'S BARBER SCHOOL","225 BOX CAR RD","","LUFKIN TX 75904","","TEXAN'S BARBER SCHOOL","4600 S MEDFORD STE 1370","","LUFKIN TX 75901","0005","ANGELINA","75901","9032393710","PS","N","not the same",0,5,""
"Barber School",167, 12/01/2025,"BEXAR","TONSORE MASTER ACADEMY","6856 INGRAM RD","","SAN ANTONIO TX 78238-4112","","TONSORE MASTER ACADEMY","6856 INGRAM RD","","SAN ANTONIO TX 78238","0029","BEXAR","78238","2108163868","PS","N","Same address",0,0,""
"Barber School",172, 01/31/2026,"STARR","RGCCISD GRULLA HIGH SCHOOL","1 S FORT RINGGOLD ST","","RIO GRANDE CITY TX 78582-4701","","RGCCISD GRULLA HIGH SCHOOL","6884 US 83","","RIO GRANDE CITY TX 78582","0427","STARR","78582","9567166962","VS","N","not the same",0,0,""
"Barber School",174, 12/01/2025,"HARRIS","PREMIER BARBER SCHOOL","8795 ANTOINE DR STE 107","","HOUSTON TX 77088-2518","","PREMIER BARBER SCHOOL","8795 ANTOINE DR SUITE 107","","HOUSTON TX 77088-2518","0201","HARRIS","77088","2817791394","PS","N","not the same",0,0,""
"Barber School",176, 12/01/2025,"EL PASO","CAPELLI BARBER COLLEGE","11385 JAMES WATT DR STE 8","","EL PASO TX 79936-5900","","CAPELLI BARBER COLLEGE","11385 JAMES WATT DR STE 8","","EL PASO TX 79936","0141","EL PASO","79936","9152079483","PS","N","Same address",0,0,""
"Barber School",183, 12/01/2025,"TARRANT","BRIGHTON BARBER INSTITUTE","133 W HARWOOD RD","","HURST TX 76054-3058","","BRIGHTON BARBER INSTITUTE","133 W HARWOOD RD","","HURST TX 76054-3058","0439","TARRANT","76054","8177857051","PS","N","Same address",0,0,""
"Barber School",187, 12/13/2025,"BRAZOS","JAMES EARL RUDDER HIGH SCHOOL","3251 AUSTINS COLONY PKWY","","BRYAN TX 77808-2276","","JAMES EARL RUDDER HIGH SCHOOL","3251 AUSTINS COLONY PARKWAY","","BRYAN TX 77808","0041","BRAZOS","77808","9792092610","VS","N","not the same",0,0,""
"Barber School",192, 12/01/2025,"","INTERSTATE BARBER SCHOOL","","","","","INTERSTATE BARBER SCHOOL","4200 SOUTH FWY SUITE 3B-113","","FORT WORTH TX 76115","0439","TARRANT","76115","6824336824","PS","N","",0,0,""
"Barber School",196, 12/01/2025,"DALLAS","BLANCO'S FLAWLESS BARBER SCHOOL","1235 S JOSEY LN STE 670","","CARROLLTON TX 75006-7666","","BLANCO'S FLAWLESS BARBER SCHOOL","1235 S JOSEY LN # 670","","CARROLLTON TX 75006","0113","DALLAS","75006","4699008244","PS","N","not the same",0,0,""
"Barber School",197, 12/01/2025,"WICHITA","WICHITA FALLS BARBER ACADEMY","3101 GRANT","","WICHITA FALLS TX 76308-1756","","WICHITA FALLS BARBER ACADEMY","3101 GRANT","","WICHITA FALLS TX 76308-1756","0485","WICHITA","76308","9407333245","PS","N","Same address",0,0,""
"Barber School",198, 12/01/2025,"HARRIS","HOUSTON BARBER SCHOOL","313 RANKIN RD STE G","","HOUSTON TX 77073-4400","","HOUSTON BARBER SCHOOL","5377 ANTOINE DRIVE","","HOUSTON TX 77091","0201","HARRIS","77091","2818210681","PS","N","not the same",0,0,""
"Barber School",200, 12/01/2025,"HARRIS","360 DEGREES BEAUTY ACADEMY #1 INC","13323 BIRDCALL LANE","","CYPRESS TX 77429-3163","","360 DEGREES BEAUTY ACADEMY #1 INC","10638 FM 1960 ROAD WEST","","HOUSTON TX 77070","0201","HARRIS","77070","2815179505","PS","N","not the same",0,0,""
"Barber School",203, 12/01/2025,"BRAZORIA","JB HENSLER COLLEGE & CAREER ACADEMY","7380 LEWIS LN","","MANVEL TX 77578-4738","","JB HENSLER COLLEGE & CAREER ACADEMY","7380 LEWIS LANE","","MANVEL TX 77578","0039","BRAZORIA","77578","2812452163","VS","N","not the same",0,0,""
"Barber School",206, 12/01/2025,"WEBB","THE PROFESSIONAL COSMETOLOGY ACADEMY","1407 CALLE DEL NORTE STE 116","","LAREDO TX 78041-5942","","THE PROFESSIONAL COSMETOLOGY ACADEMY","1407 CALLE DEL NORTE STE 116","","LAREDO TX 78041","0479","WEBB","78041","9567446139","PS","N","Same address",0,0,""
"Barber School",210, 01/31/2026,"STARR","RIO GRANDE HIGH SCHOOL","1 S FORT RINGGOLD ST","","RIO GRANDE CITY TX 78582-4701","","RIO GRANDE HIGH SCHOOL","5726 N FM 755","","RIO GRANDE CITY TX 78582","0427","STARR","78582","9567166962","VS","N","not the same",0,0,""
"Barber School",219, 01/12/2025,"BURLESON","EBONY ESSENCE SCHOOL OF HAIR DESIGN","1562 COUNTY ROAD 327","","CALDWELL TX 77836-7239","","EBONY ESSENCE SCHOOL OF HAIR DESIGN","1707 W HWY 21","","CALDWELL TX 77836","0051","BURLESON","77836","9795741821","PS","N","not the same",0,0,""
"Barber School",220, 12/10/2024,"CAMERON","NEW IMAGE BEAUTY AND BARBER SCHOOL","529 N S ST","","HARLINGEN TX 78550-5224","","NEW IMAGE BEAUTY AND BARBER SCHOOL","502 N EXPRESSWAY 77","","HARLINGEN TX 78550","0061","CAMERON","78550","9566483579","PS","N","not the same",0,0,""
"Barber School",226, 12/01/2025,"CAMERON","RGV COSMETOLOGY SCHOOL","691 E BUSINESS 77 STE A","","SAN BENITO TX 78586","","RGV COSMETOLOGY SCHOOL","691 E BUSINESS 77 STE A","","SAN BENITO TX 78586","0061","CAMERON","78586","9562764146","PS","N","Same address",0,0,""
"Barber School",231, 12/01/2025,"DALLAS","TEXAS FADEZ BARBER COLLEGE","523 JEFF GRIMES BLVD","","DESOTO TX 75115-3204","","TEXAS FADEZ BARBER COLLEGE","1210 S MAIN ST","","DUNCANVILLE TX 75137","0113","DALLAS","75137","2145164287","PS","N","not the same",0,0,""
"Barber School",233, 02/11/2025,"HIDALGO","MISSION BARBER AND BEAUTY INSTITUTE LLC","1123 E 9TH ST STE 10B","","MISSION TX 78572-4404","","MISSION BARBER AND BEAUTY INSTITUTE LLC","1123 E 9TH ST SUITE 10B","","MISSION TX 78572","0215","HIDALGO","78572","9565845816","PS","N","not the same",0,0,""
"Barber School",238, 12/01/2025,"GREGG","KILGORE COLLEGE/LONGVIEW","300 S HIGH ST","","LONGVIEW TX 75601-7137","","KILGORE COLLEGE/LONGVIEW","315 SOUTH CENTER","","LONGVIEW TX 75601","0183","GREGG","75601","9032362014","JC","N","not the same",0,0,""
"Barber School",239, 12/01/2025,"DALLAS","PRO FADES BARBER ACADEMY","8074 FERGUSON","","DALLAS TX 75228-5848","","PRO FADES BARBER ACADEMY","8074 FERGUSON RD","","DALLAS TX 75228","0113","DALLAS","75228","4695542145","PS","N","not the same",0,0,""
"Barber School",245, 12/31/2025,"TARRANT","I.T.S. ACADEMY OF BEAUTY","4800 S HULEN ST STE 2235","","FORT WORTH TX 76132-1538","","I.T.S. ACADEMY OF BEAUTY","4800 S HULEN ST STE 2235","","FORT WORTH TX 76132-1538","0439","TARRANT","76132","8172445406","PS","N","Same address",0,0,""
"Barber School",247, 12/01/2025,"TARRANT","WYMASTER BARBER & BEAUTY COLLEGE","PO BOX 822802","","NORTH RICHLAND HILLS TX 76182","","WYMASTER BARBER & BEAUTY COLLEGE","5424 RUFE SNOW DR STE 402","","NORTH RICHLAND HILLS TX 76180","0439","TARRANT","76180","8178492344","PS","N","not the same",0,4,""
"Barber School",249, 06/30/2025,"EL PASO","I.T.S. ACADEMY OF BEAUTY","750 SUNLAND PARK DR STE E08B","","EL PASO TX 79912-6709","","I.T.S. ACADEMY OF BEAUTY","750 SUNLAND PARK DRIVE","SUITE E08B","EL PASO TX 79912","0141","EL PASO","79912","6825977443","PS","N","not the same",0,0,""
"Barber School",257, 12/01/2025,"TRAVIS","DACS ACADEMY L.L.C.","111 RAMBLE LN STE 105","","AUSTIN TX 78745-2280","","DACS ACADEMY L.L.C.","111 RAMBLE LN SUITE 105","","AUSTIN TX 78745","0453","TRAVIS","78745","5129052067","PS","N","not the same",0,0,""
"Barber School",263, 12/01/2025,"MONTGOMERY","T.C.P. BEAUTY COLLEGE","669 RAVENSWORTH DR","","CONROE TX 77302-3737","","T.C.P. BEAUTY COLLEGE","6220 WEST PARK #254","","HOUSTON TX 77057","0201","HARRIS","77057","8322165818","PS","N","not the same",0,0,""
"Barber School",264, 12/01/2025,"BEXAR","CUT & SHAVE BARBER & BEAUTY COLLEGE","1139 GEMBLER RD","","SAN ANTONIO TX 78219-3224","","CUT & SHAVE BARBER & BEAUTY COLLEGE","1139 GEMBLER RD","","SAN ANTONIO TX 78219-3224","0029","BEXAR","78219","2102738340","PS","N","Same address",0,0,""
"Barber School",267, 12/01/2025,"DALLAS","AACTION BARBER & STYLING COLLEGE","4460 W WALNUT ST STE 124A","","GARLAND TX 75042-4102","","AACTION BARBER & STYLING COLLEGE","4460 WEST WALNUT STREET","SUITE 124 A","GARLAND TX 75042","0113","DALLAS","75042","2144402583","PS","N","not the same",0,0,""
"Barber School",268, 12/01/2025,"DALLAS","DOONEY'S BARBER AND BEAUTY ACADEMY","PO BOX 764705","","DALLAS TX 75376-4705","","DOONEY'S BARBER AND BEAUTY ACADEMY","4333 GANNON LANE #115","","DALLAS TX 75237","0113","DALLAS","75237","2144547138","PS","N","not the same",0,4,""
"Barber School",272, 12/12/2025,"DALLAS","INVICTUS CAREER COLLEGE","1515 S BUCKNER BLVD STE 147","","DALLAS TX 75217-1775","","INVICTUS CAREER COLLEGE","1515 BUCKNER BLVD SUITE 147","","DALLAS TX 75217-1775","0113","DALLAS","75217","2143986416","PS","N","not the same",0,0,""
"Barber School",273, 12/01/2025,"HARRIS","FIVE STAR ELITE FADES BARBER COLLEGE","SUITE F 920","10920 WILL CLAYTON PARKWAY","HUMBLE TX 77396-3518","","FIVE STAR ELITE FADES BARBER COLLEGE","SUITE F 920","10920 WILL CLAYTON PARKWAY","HUMBLE TX 77396-3518","0201","HARRIS","77396","3468190799","PS","N","Same address",0,0,""
"Barber School",278, 12/10/2025,"VICTORIA","VICTORIA BEAUTY & BARBER COLLEGE","1508 NORTH LAURENT","","VICTORIA TX 77901","","VICTORIA BEAUTY & BARBER COLLEGE","1508 NORTH LAURENT","","VICTORIA TX 77901","0469","VICTORIA","77901","3615754526","PS","N","Same address",0,0,""
"Barber School",279, 12/01/2025,"ANGELINA","ACADEMY OF HAIR DESIGN","512 S CHESTNUT ST","","LUFKIN TX 75901-4900","","ACADEMY OF HAIR DESIGN","512 S CHESTNUT ST","","LUFKIN TX 75901-4900","0005","ANGELINA","75901","9366348440","PS","N","Same address",0,0,""
"Barber School",280, 01/06/2025,"HARRIS","JACKSON BARBER COLLEGE","4600 BELLFORT ST","","HOUSTON TX 77051-2077","","JACKSON BARBER COLLEGE","4600 BELLFORT AVE","","HOUSTON TX 77051","0201","HARRIS","77051","8328046046","PS","N","not the same",0,0,""
"Barber School",284, 12/01/2025,"BEXAR","ELEVATION BARBER COLLEGE","4417 RITTIMAN RD","","SAN ANTONIO TX 78218-4346","","ELEVATION BARBER COLLEGE","4417 RITTIMAN RD","","SAN ANTONIO TX 78218","0029","BEXAR","78218","2108676069","PS","N","Same address",0,0,""
"Barber School",287, 06/03/2025,"BELL","YAHWEH BEAUTY ACADEMY","431 N 38TH STREET","","KILLEEN TX 76543","","YAHWEH BEAUTY ACADEMY","431 N 38TH STREET","","KILLEEN TX 76543","0027","BELL","76543","2548131487","PS","N","Same address",0,0,""
"Barber School",291, 07/15/2025,"HIDALGO","CHANAC CHIC ACADEMY OF NAILS&COSMETOLOGY","117 E CAMELLIA AVE","","MCALLEN TX 78501","","CHANAC CHIC ACADEMY OF NAILS&COSMETOLOGY","111 N 23RD ST STE 120-130","","MCALLEN TX 78501","0215","HIDALGO","78501","9564005678","PS","N","not the same",0,0,""
"Barber School",292, 07/15/2025,"MATAGORDA","NEXT LEVEL BARBER INSTITUTE LLC","3323 AVENUE F","","BAY CITY TX 77414-7107","","NEXT LEVEL BARBER INSTITUTE LLC","3323 AVENUE F","","BAY CITY TX 77414-7107","0321","MATAGORDA","77414","9794791035","PS","N","Same address",0,0,""
"Barber School",294, 12/01/2025,"DENTON","BLADESMITH BARBER COLLEGE","1100 DALLAS DR STE 116","","DENTON TX 76205-5121","","BLADESMITH BARBER COLLEGE","1100 DALLAS DR STE 116","","DENTON TX 76205-5121","0121","DENTON","76205","9402222919","PS","N","Same address",0,0,""
"Barber School",295, 12/01/2025,"HARRIS","FRANKLIN INSTITUTE #2","13318 ALMEDA","","HOUSTON TX 77045","","FRANKLIN INSTITUTE #2","13318 ALMEDA","","HOUSTON TX 77045","0201","HARRIS","77045","3462407738","PS","N","Same address",0,0,""
"Barber School",297, 01/26/2026,"ECTOR","HEADLINES BARBER COLLEGE","3112 TRAILS END RD","","ODESSA TX 79762-5035","","HEADLINES BARBER COLLEGE","2501 N DIXIE BLVD","","ODESSA TX 79761","0135","ECTOR","79761","4322720419","PS","N","not the same",0,0,""
"Barber School",298, 12/01/2025,"HARRIS","QUALITY BARBER COLLEGE","12363 SOUTH MAIN","","HOUSTON TX 77035-6200","","QUALITY BARBER COLLEGE","12363 SOUTH MAIN","","HOUSTON TX 77035","0201","HARRIS","77035","7139004722","PS","N","Same address",0,0,""
"Barber School",300, 12/01/2025,"BRAZOS","GOLDSTAR BARBER ACADEMY LLC","4805 N TEXAS AVE","","BRYAN TX 77803-0216","","GOLDSTAR BARBER ACADEMY LLC","1123 VILLA MARIA RD","","BRYAN TX 77802-2445","0041","BRAZOS","77802","9795752493","PS","N","not the same",0,0,""
"Barber School",303, 12/28/2024,"HARRIS","UNIVERSAL BARBERING OF HOUSTON SCHOOL","12344 GULF FREEWAY SUITE C3","","HOUSTON TX 77034","","UNIVERSAL BARBERING OF HOUSTON SCHOOL","12344 GULF FREEWAY SUITE C3","","HOUSTON TX 77034","0201","HARRIS","77034","8326300500","PS","N","Same address",0,0,""
"Barber School",308, 01/31/2025,"HIDALGO","DONNA HIGH SCHOOL","2301 EAST WOOD AVE","","DONNA TX 78537","","DONNA HIGH SCHOOL","2301 EAST WOOD AVE","","DONNA TX 78537","0215","HIDALGO","78537","9563141309","VS","N","Same address",0,0,""
"Barber School",309, 01/26/2026,"HAYS","EYES ON ME ADVANCED BARBER COLLEGE","242 N LBJ DR SUITE 102","","SAN MARCOS TX 78666","","EYES ON ME ADVANCED BARBER COLLEGE","242 N LBJ DR SUITE 102","","SAN MARCOS TX 78666","0209","HAYS","78666","2103176103","PS","N","Same address",0,0,""
"Barber School",314, 12/01/2025,"HIDALGO","MIKE'S BARBER SCHOOL LLC","901 E SCHUNIOR ST","","EDINBURG TX 78541-2631","","MIKE'S BARBER SCHOOL LLC","901 E SCHUNIOR ST","","EDINBURG TX 78541-2631","0215","HIDALGO","78541","9567774765","PS","N","Same address",0,0,""
"Barber School",315, 12/01/2025,"DALLAS","KINGS-KUTS BARBER & HAIR STYLING SCHOOL","PO BOX 740984","","DALLAS TX 75374-0984","","KINGS-KUTS BARBER & HAIR STYLING SCHOOL","413 SCHOOL STREET","","GARLAND TX 75042-6608","0113","DALLAS","75042","2142646296","PS","N","not the same",0,4,""
